2024-09-27 09:49:07 root         INFO     Starting GetRecords Consumer
2024-09-27 09:49:07 botocore.credentials INFO     Found credentials from IAM Role: LabInstanceRole
2024-09-27 09:55:06 root         INFO     Starting GetRecords Consumer
2024-09-27 09:55:06 botocore.credentials INFO     Found credentials from IAM Role: LabInstanceRole
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:03:00', 'total_sales': 9950.0} from Shard shardId-000000000000 at position 49656220745611844061986741809545443966475446290999148546
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:06:00', 'total_sales': 24224} from Shard shardId-000000000000 at position 49656220745611844061986741809546652892295060920173854722
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:09:00', 'total_sales': 21023} from Shard shardId-000000000000 at position 49656220745611844061986741809547861818114675549348560898
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:12:00', 'total_sales': 17136} from Shard shardId-000000000000 at position 49656220745611844061986741809549070743934290178523267074
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:15:00', 'total_sales': 20790.0} from Shard shardId-000000000000 at position 49656220745611844061986741809550279669753904807697973250
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:18:00', 'total_sales': 21033} from Shard shardId-000000000000 at position 49656220745611844061986741809551488595573519436872679426
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:21:00', 'total_sales': 24367} from Shard shardId-000000000000 at position 49656220745611844061986741809552697521393134066047385602
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:24:00', 'total_sales': 25045} from Shard shardId-000000000000 at position 49656220745611844061986741809553906447212748695222091778
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:27:00', 'total_sales': 25546} from Shard shardId-000000000000 at position 49656220745611844061986741809555115373032363324396797954
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:30:00', 'total_sales': 20914} from Shard shardId-000000000000 at position 49656220745611844061986741809556324298851977953571504130
2024-09-27 09:55:37 root         INFO     Read Order {'event_time': '2024-06-01 00:33:00', 'total_sales': 16973} from Shard shardId-000000000000 at position 49656220745611844061986741809557533224671592582746210306
